형태소,품사,가게이름,날짜,평점,카운트
!!!!,Punctuation,산동교자,2018.04.22.,5,1
!!!!!,Punctuation,란주탕슉,2020.05.05.,4,1
!!!!!,Punctuation,탕화쿵푸마라탕,2019.06.17.,1,1
"""",Punctuation,동영관,2019.12.23.,3,2
"""",Punctuation,복성각,2019.12.17.,1,1
"""",Punctuation,불이아 본점,2020.01.01,2,1
"""",Punctuation,중경마라탕 강남역점,2020.01.01,5,1
"""",Punctuation,중림 양갈비양꼬치,2020.01.01,1,2
"""",Punctuation,청화원,2020.08.07.,2,4
#,Punctuation,대가방 본점,2020.01.01,5,2
#&',Punctuation,하하,2020.01.01,4,1
#탕수육,Hashtag,대가방 본점,2020.01.01,5,1
',Punctuation,대가방 본점,2020.01.01,5,4
',Punctuation,란주탕슉,2018.07.13.,2,2
',Punctuation,만보성,2019.07.11.,1,4
',Punctuation,쥬에,2020.01.01,1,2
',Punctuation,춘리마라탕,2019.09.25.,4,1
(,Punctuation,라공방 대학로본점,2019.12.12.,4,2
(,Punctuation,라공방 대학로본점,2020.02.12.,1,1
(,Punctuation,라공방 대학로본점,2020.11.02.,5,1
(,Punctuation,란주탕슉,2016.10.27.,1,1
(,Punctuation,란주탕슉,2019.09.03.,2,1
(,Punctuation,란주탕슉,2019.12.28.,1,1
(,Punctuation,리춘시장 영등포역점,2020.06.28.,3,1
(,Punctuation,맛이차이나,2020.01.01,1,1
(,Punctuation,매화반점 1호점,2020.01.01,3,3
(,Punctuation,미가양고기,2020.01.01,5,1
(,Punctuation,미엔아이 송파점,2020.01.01,3,1
(,Punctuation,바오바,2020.01.01,4,1
(,Punctuation,손오공마라탕,2020.01.01,5,2
(,Punctuation,신룽푸마라탕,2019.01.19.,2,1
(,Punctuation,완차이면가,2020.02.20.,5,1
(,Punctuation,중경마라탕 강남역점,2020.01.01,5,1
(,Punctuation,중심,2020.09.30.,5,5
(,Punctuation,쥬에,2020.01.01,1,3
(,Punctuation,챠이797 광화문점,2020.06.23.,5,1
(,Punctuation,청화원,2020.07.05.,5,1
(,Punctuation,팔레드신,2020.01.01,5,2
(,Punctuation,히노아지 명동점,2020.10.08.,1,2
(=,Punctuation,벽돌해피푸드 압구정점,2020.01.01,3,1
(?),Punctuation,강서,2020.07.03.,4,1
(?),Punctuation,란주탕슉,2018.07.13.,2,1
(?),Punctuation,히노아지 명동점,2020.01.01,5,1
),Punctuation,라공방 대학로본점,2019.12.12.,4,1
),Punctuation,라공방 대학로본점,2020.02.12.,1,1
),Punctuation,라공방 대학로본점,2020.11.02.,5,1
),Punctuation,란주탕슉,2016.10.27.,1,1
),Punctuation,란주탕슉,2019.09.03.,2,1
),Punctuation,란주탕슉,2019.12.28.,1,1
),Punctuation,맛이차이나,2020.01.01,1,1
),Punctuation,매화반점 1호점,2020.01.01,3,3
),Punctuation,미가양고기,2020.01.01,5,1
),Punctuation,미엔아이 송파점,2020.01.01,3,2
),Punctuation,바오바,2020.01.01,4,1
),Punctuation,벽돌해피푸드 압구정점,2020.01.01,3,1
),Punctuation,손오공마라탕,2020.01.01,5,2
),Punctuation,신룽푸마라탕,2019.01.19.,2,1
),Punctuation,완차이면가,2020.02.20.,5,1
),Punctuation,중경마라탕 강남역점,2020.01.01,5,1
),Punctuation,중심,2020.09.30.,5,4
),Punctuation,쥬에,2020.01.01,1,3
"),",Punctuation,리춘시장 영등포역점,2020.06.28.,3,1
"),",Punctuation,중심,2020.09.30.,5,1
"),",Punctuation,팔레드신,2020.01.01,5,1
).,Punctuation,라공방 대학로본점,2019.12.12.,4,1
).,Punctuation,팔레드신,2020.01.01,5,1
*,Punctuation,로향양꼬치,2020.01.01,3,2
+,Punctuation,램랜드,2020.01.01,3,2
+,Punctuation,램랜드,2020.01.01,4,1
+,Punctuation,만보성,2018.12.30.,5,3
+,Punctuation,매화반점 1호점,2020.01.01,3,1
+,Punctuation,복만루훠궈,2020.08.18.,4,1
+,Punctuation,야상해,2020.01.01,5,2
+,Punctuation,양식당더램키친,2020.01.01,4,1
+,Punctuation,외래향 서울대점,2020.01.01,4,1
+,Punctuation,쥬에,2020.01.01,1,1
+,Punctuation,천진영감,2020.01.01,5,1
+,Punctuation,탕화쿵푸마라탕,2020.06.08.,1,2
+,Punctuation,탕화쿵푸마라탕 화양점,2020.09.09.,3,1
+,Punctuation,홍콩반점0410 종로관수점,2020.06.04.,1,1
",",Punctuation,강서,2020.05.18.,3,1
",",Punctuation,개화식당,2020.01.01,3,1
",",Punctuation,구복만두,2020.01.01,4,2
",",Punctuation,대가방 본점,2020.01.01,4,1
",",Punctuation,대가방 본점,2020.01.01,5,1
",",Punctuation,동영관,2019.08.01.,4,2
",",Punctuation,두만강샤브샤브 봉천점,2020.01.01,1,1
",",Punctuation,등비룡마라탕 종각점,2020.07.03.,3,1
",",Punctuation,등비룡마라탕 종각점,2020.07.08.,5,1
",",Punctuation,라공방 대학로본점,2020.02.12.,1,1
",",Punctuation,라공방 대학로본점,2020.10.16.,1,1
",",Punctuation,라공방 대학로본점,2020.11.02.,5,3
",",Punctuation,라화쿵부 명동2호점,2019.04.17.,1,1
",",Punctuation,라화쿵부 명동점,2018.04.09.,4,1
",",Punctuation,라화쿵부 명동점,2020.01.01,1,1
",",Punctuation,라화쿵부 명동점,2020.03.16.,3,2
",",Punctuation,라화쿵부 명동점,2020.04.02.,1,1
",",Punctuation,락희안 명지대본점,2020.01.01,3,4
",",Punctuation,란주탕슉,2016.10.27.,1,3
",",Punctuation,란주탕슉,2018.07.13.,2,1
",",Punctuation,란주탕슉,2018.12.20.,1,1
",",Punctuation,란주탕슉,2019.08.11.,1,2
",",Punctuation,란주탕슉,2019.09.08.,1,1
",",Punctuation,란주탕슉,2020.08.01.,5,2
",",Punctuation,란주탕슉,2020.09.22.,5,2
",",Punctuation,란주탕슉,2020.10.04.,1,2
",",Punctuation,램랜드,2020.01.01,5,1
",",Punctuation,리춘시장 대학로CGV점,2020.08.28.,5,1
",",Punctuation,마포마라탕,2019.12.26.,1,1
",",Punctuation,매화반점 1호점,2020.01.01,3,4
",",Punctuation,목란,2020.01.01,1,1
",",Punctuation,미가양고기,2020.01.01,1,1
",",Punctuation,바오바,2020.01.01,4,1
",",Punctuation,봉자마라탕,2019.01.21.,2,4
",",Punctuation,봉자마라탕,2019.10.31.,1,4
",",Punctuation,불이아 본점,2020.01.01,2,1
",",Punctuation,산동교자,2016.01.04.,4,1
",",Punctuation,산동교자,2016.07.19.,3,2
",",Punctuation,산동교자,2017.05.07.,4,1
",",Punctuation,산동교자,2018.01.27.,3,1
",",Punctuation,산동교자,2019.05.06.,1,1
",",Punctuation,산동주방,2019.01.24.,5,1
",",Punctuation,산동주방,2020.01.01,4,1
",",Punctuation,산왕반점 연남동본점,2020.01.01,4,1
",",Punctuation,산왕반점 연남동본점,2020.01.01,5,1
",",Punctuation,손오공마라탕,2020.01.01,5,1
",",Punctuation,송화산시도삭면,2020.01.01,5,1
",",Punctuation,신룽푸마라탕,2020.05.24.,1,1
",",Punctuation,애정마라샹궈 본점,2020.01.01,5,1
",",Punctuation,열빈 광화문점,2019.06.19.,3,1
",",Punctuation,영화장,2020.01.01,1,2
",",Punctuation,오향가 가락본점,2020.01.01,3,1
",",Punctuation,완차이면가,2019.11.07.,4,1
",",Punctuation,완차이면가,2020.04.11.,3,1
",",Punctuation,외래향 서울대점,2020.01.01,1,1
",",Punctuation,인량 훠궈,2020.01.01,1,2
",",Punctuation,일일향 잠실점,2020.01.01,1,3
",",Punctuation,자리,2020.01.01,1,1
",",Punctuation,쟈니덤플링 1호점,2020.01.01,3,1
",",Punctuation,정민,2020.01.01,5,3
",",Punctuation,종로양꼬치,2016.03.11.,3,1
