형태소,품사,가게이름,날짜,평점,카운트
겋,Noun,산동교자,2020.02.23.,2,1
게,Josa,라공방 대학로본점,2020.11.02.,5,1
게,Josa,라화쿵부 명동점,2019.12.03.,1,1
게,Josa,램랜드,2020.01.01,4,1
게,Josa,매화반점 1호점,2020.01.01,3,1
게,Josa,목란,2020.01.01,1,1
게,Josa,복만루훠궈 2호점,2019.10.11.,5,1
게,Josa,산동교자,2019.05.06.,1,1
게,Josa,완차이면가,2020.08.13.,1,2
게,Josa,종로양꼬치,2018.07.03.,1,1
게,Josa,중경마라탕 강남역점,2020.01.01,5,2
게,Josa,청화원,2020.07.01.,4,1
게,Josa,춘리마라탕,2020.01.10.,5,1
게,Josa,큐큐면관 회기점,2020.06.13.,2,1
게,Josa,팔레드신,2020.01.01,1,1
게,Noun,등비룡마라탕 종각점,2020.06.03.,1,1
게,Noun,라공방 대학로본점,2019.12.06.,1,2
게,Noun,라공방 대학로본점,2020.02.12.,1,1
게,Noun,라화쿵부,2018.12.28.,1,1
게,Noun,라화쿵부 명동점,2020.03.16.,3,1
게,Noun,란주칼면,2020.01.01,4,1
게,Noun,복성각,2019.08.04.,1,1
게,Noun,봉자마라탕,2020.02.10.,3,1
게,Noun,송쉐프,2020.01.01,1,1
게,Noun,애정마라샹궈 본점,2020.01.01,2,1
게,Noun,중경마라탕 강남역점,2020.01.01,4,1
게,Noun,큐큐면관 회기점,2020.03.11.,1,1
게,Noun,탕화쿵푸마라탕,2019.05.02.,2,1
게,Noun,탕화쿵푸마라탕 화양점,2020.05.15.,3,2
게다가,Noun,등비룡마라탕 종각점,2020.06.03.,1,1
게살,Noun,대가방 본점,2020.01.01,1,1
게살,Noun,송쉐프,2020.01.01,4,1
겠지,Verb,매화반점 1호점,2020.01.01,3,1
겨울,Noun,동영관,2019.12.23.,3,1
겪는,Verb,춘리마라탕,2020.04.14.,2,1
견,Noun,대가방 본점,2020.01.01,5,1
견해,Noun,동영관,2020.01.01,5,1
결과,Noun,홍명,2020.01.01,5,1
결국,Adverb,라공방 대학로본점,2019.11.21.,1,1
결국,Adverb,목란,2020.01.01,1,1
결론,Noun,목란,2020.01.01,2,1
결제,Noun,등비룡마라탕 종각점,2020.06.03.,1,1
결제,Noun,봉자마라탕,2020.02.10.,3,2
결제,Noun,봉자마라탕,2020.08.05.,5,1
결제,Noun,봉자마라탕,2020.08.10.,3,3
결제,Noun,칠기마라탕,2020.01.01,4,1
결제,Noun,히노아지 명동점,2020.07.13.,1,1
결함,Noun,두만강샤브샤브 봉천점,2020.01.01,1,1
경,Foreign,로향양꼬치,2020.01.01,1,1
경,Modifier,영화장,2020.01.01,1,1
경악,Noun,탕화쿵푸마라탕,2020.02.17.,1,1
경우,Noun,봉자마라탕,2019.01.21.,2,1
경우,Noun,불이아 본점,2020.01.01,3,2
경우,Noun,탕화쿵푸마라탕,2020.08.18.,1,1
경쟁,Noun,봉자마라탕,2020.02.10.,3,1
경치,Noun,바오바,2020.01.01,5,1
경쾌합니다,Adjective,락희안 명지대본점,2020.01.01,5,1
경험,Noun,탕화쿵푸마라탕,2019.07.30.,3,1
경험,Noun,홍콩반점0410 종로관수점,2020.09.18.,1,1
곁들여,Verb,공푸,2020.01.01,5,1
곁들여,Verb,종로양꼬치,2019.06.18.,4,1
곁들이면,Verb,중림 양갈비양꼬치,2020.08.01.,4,1
계,Suffix,정민,2020.01.01,5,1
계란,Noun,라화쿵부 명동2호점,2019.09.14.,1,2
계란,Noun,라화쿵부 명동점,2020.08.21.,1,1
계란,Noun,봉자마라탕,2019.10.31.,1,1
계란,Noun,신승관,2020.08.25.,1,1
계란,Noun,야상해,2020.01.01,5,2
계란,Noun,이품,2020.01.01,4,1
계란,Noun,자리,2020.01.01,1,1
계란,Noun,청화원,2019.12.04.,5,1
계란후라이,Noun,복성각,2019.08.04.,1,1
계산,Noun,라공방 대학로본점,2019.09.29.,1,1
계산,Noun,복성각,2018.07.28.,3,1
계산,Noun,복성각,2019.07.27.,1,1
계산,Noun,외래향 서울대점,2020.01.01,1,1
계산,Noun,중림 양갈비양꼬치,2020.01.01,1,2
계산,Noun,탕화쿵푸마라탕,2019.05.28.,1,1
계산,Noun,한성양꼬치 종각점,2020.01.04.,1,1
계셔서,Adjective,봉자마라탕,2020.07.31.,5,1
계셔서,Adjective,신승관,2020.08.25.,1,1
계셨음,Adjective,라공방 대학로본점,2020.02.12.,1,1
계속,Noun,가담,2020.01.01,3,2
계속,Noun,광화문짬뽕,2020.07.31.,5,1
계속,Noun,라공방 대학로본점,2019.08.02.,1,2
계속,Noun,란주탕슉,2019.05.31.,1,1
계속,Noun,란주탕슉,2020.11.12.,5,1
계속,Noun,청화원,2019.12.25.,1,1
계속,Noun,팔레드신,2020.01.01,1,2
계속,Noun,하이디라오 강남점,2020.01.01,4,3
계신,Adjective,홍콩반점0410 종로관수점,2019.12.07.,5,1
계절,Noun,산동교자,2016.09.09.,4,1
계절,Noun,홍명,2020.01.01,5,1
계좌,Noun,봉자마라탕,2020.02.10.,3,1
고,Josa,가담,2020.01.01,3,1
고,Josa,골드피쉬딤섬퀴진,2020.01.01,4,1
고,Josa,구복만두,2020.01.01,1,1
고,Josa,김사부샤브샤브,2020.01.01,2,1
고,Josa,대한닭갈비,2020.04.15.,1,1
고,Josa,등비룡마라탕 종각점,2020.06.03.,1,1
고,Josa,등비룡마라탕 종각점,2020.07.03.,1,1
고,Josa,등비룡마라탕 종각점,2020.07.08.,5,1
고,Josa,라화쿵부 명동2호점,2019.04.17.,1,1
고,Josa,라화쿵부 명동점,2019.12.08.,4,1
고,Josa,라화쿵부 명동점,2020.06.29.,1,1
고,Josa,라화쿵부 명동점,2020.08.21.,1,1
고,Josa,락희안 명지대본점,2020.01.01,3,1
고,Josa,란주탕슉,2019.05.23.,1,2
고,Josa,란주탕슉,2019.08.11.,1,1
고,Josa,란주탕슉,2019.09.03.,2,1
고,Josa,란주탕슉,2020.09.22.,5,1
고,Josa,란주탕슉,2020.11.12.,5,1
고,Josa,로충칭마라탕 궁동점,2020.01.01,5,1
고,Josa,리춘시장 대학로CGV점,2020.03.15.,2,1
고,Josa,만보성,2019.07.09.,3,1
고,Josa,만보성,2019.07.11.,1,1
고,Josa,맛이차이나,2020.01.01,5,1
고,Josa,매화반점 1호점,2020.01.01,1,1
고,Josa,봉자마라탕,2019.01.21.,2,1
고,Josa,봉자마라탕,2020.05.06.,3,1
고,Josa,봉자마라탕,2020.05.11.,3,1
고,Josa,불이아 본점,2020.01.01,2,2
고,Josa,불이아 본점,2020.01.01,3,1
고,Josa,산동주방,2019.01.24.,5,1
고,Josa,송쉐프,2020.01.01,1,1
고,Josa,송화양꼬치,2020.01.01,4,1
고,Josa,신룽푸마라탕,2019.01.19.,2,1
고,Josa,양식당더램키친,2020.01.01,4,2
고,Josa,완차이면가,2020.04.11.,3,1
고,Josa,인량 훠궈,2020.01.01,1,1
고,Josa,인량 훠궈,2020.01.01,4,1
고,Josa,일일향 잠실점,2020.01.01,1,2
고,Josa,종로양꼬치,2019.01.05.,4,1
고,Josa,종로양꼬치,2020.10.29.,1,1
고,Josa,중심,2020.05.21.,5,1
고,Josa,차이나당,2020.01.01,1,1
고,Josa,채린중국요리,2020.01.01,1,1
고,Josa,챠이797 광화문점,2020.05.12.,2,1
고,Josa,천유향마라향솥,2020.01.01,5,1
고,Josa,청화원,2019.12.25.,1,1
고,Josa,촨커,2020.01.01,4,1
고,Josa,큐큐면관 회기점,2020.06.13.,2,1
고,Josa,탕화쿵푸마라탕,2019.11.15.,1,1
고,Josa,탕화쿵푸마라탕 동대문점,2019.09.23.,1,1
고,Josa,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
고,Josa,팔레드신,2020.01.01,1,2
고,Josa,포시즌스호텔 유유안,2020.01.01,4,1
고,Josa,한성양꼬치 종각점,2019.03.15.,1,1
고,Josa,한성양꼬치 종각점,2020.05.06.,1,1
고,Josa,홍명,2020.01.01,4,1
고,Josa,홍명,2020.01.01,5,1
고,Josa,홍콩반점0410 대학로점,2019.04.12.,1,1
고,Josa,히노아지 명동점,2019.04.18.,1,3
고,Modifier,가담,2020.01.01,3,1
고,Modifier,라공방 대학로본점,2019.12.12.,4,1
고,Modifier,라공방 대학로본점,2020.01.16.,1,1
고,Modifier,라화쿵부,2016.05.08.,3,1
고,Modifier,라화쿵부 명동점,2020.07.30.,1,2
고,Modifier,소리원,2020.01.01,1,1
고,Modifier,춘리마라탕,2020.04.21.,5,1
고,Modifier,큐큐면관 회기점,2020.07.24.,1,1
고,Noun,중화복춘,2020.01.01,1,1
고가,Noun,라화쿵부 명동점,2020.08.01.,4,1
고가,Noun,봉자마라탕,2019.10.31.,1,1
고객,Noun,라화쿵부 명동점,2019.12.03.,1,1
고객,Noun,미가양고기,2020.01.01,1,1
고객,Noun,큐큐면관 삼성점,2020.11.10.,1,1
고객,Noun,큐큐면관 삼성점,2020.11.11.,2,1
고건,Noun,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
고고씽,Noun,열빈 광화문점,2020.01.01,5,1
고급,Noun,복성각,2020.05.23.,3,1
고급,Noun,인량 훠궈,2020.01.01,4,1
고급스럽고,Adjective,인량 훠궈,2020.01.01,4,1
고기,Noun,가담,2020.01.01,3,1
고기,Noun,등비룡마라탕 종각점,2020.07.03.,1,2
고기,Noun,라공방 대학로본점,2019.11.21.,1,1
고기,Noun,라공방 대학로본점,2019.12.10.,1,1
고기,Noun,라공방 대학로본점,2019.12.12.,4,2
고기,Noun,라공방 대학로본점,2020.01.10.,1,1
고기,Noun,라공방 대학로본점,2020.01.12.,5,1
고기,Noun,라공방 대학로본점,2020.04.13.,4,1
고기,Noun,라화쿵부 명동점,2018.10.22.,1,1
고기,Noun,라화쿵부 명동점,2019.03.23.,3,1
고기,Noun,라화쿵부 명동점,2020.01.01,1,1
고기,Noun,란주탕슉,2016.10.27.,1,1
고기,Noun,란주탕슉,2019.09.08.,1,1
고기,Noun,램랜드,2020.01.01,3,1
고기,Noun,매화반점 1호점,2020.01.01,3,1
고기,Noun,미엔아이 송파점,2020.01.01,3,1
고기,Noun,복성각,2019.12.17.,1,1
고기,Noun,봉자마라탕,2018.11.14.,5,1
고기,Noun,봉자마라탕,2019.01.21.,2,1
고기,Noun,봉자마라탕,2020.08.05.,5,1
고기,Noun,산동주방,2020.01.01,4,2
고기,Noun,양식당더램키친,2020.01.01,4,1
고기,Noun,일일향 광화문점,2020.04.14.,3,1
고기,Noun,종로양꼬치,2018.07.03.,1,1
고기,Noun,중경마라탕 강남역점,2020.01.01,4,1
고기,Noun,쥬에,2020.01.01,1,1
고기,Noun,청화원,2020.06.23.,4,1
고기,Noun,큐큐면관 회기점,2020.06.13.,2,1
고기,Noun,탕화쿵푸마라탕 화양점,2020.05.15.,3,1
고기,Noun,포가,2020.01.01,4,1
고기,Noun,포시즌스호텔 유유안,2020.01.01,4,1
고기,Noun,홍콩반점0410 대학로점,2020.11.16.,2,1
고기,Noun,홍콩반점0410 종로관수점,2020.06.24.,3,1
고기,Noun,훠궈야 판교아브뉴프랑점,2020.01.01,4,2
고기,Noun,히노아지 명동점,2020.01.01,5,1
고기랑,Noun,라공방 대학로본점,2020.02.12.,1,1
고대,Noun,봉자마라탕,2020.02.10.,3,1
고등학교,Noun,공푸,2020.01.01,4,1
고등학생,Noun,상하이,2020.11.07.,5,1
고량주,Noun,라화쿵부,2016.05.08.,3,1
고량주,Noun,산동교자,2019.05.06.,1,1
고량주,Noun,종로양꼬치,2019.07.10.,4,2
고를,Verb,봉자마라탕,2019.05.11.,1,1
고를,Verb,중경마라탕 강남역점,2020.01.01,4,1
고명,Noun,마담밍 선릉점,2020.01.01,1,1
고무장갑,Noun,탕화쿵푸마라탕,2020.02.17.,1,1
고무줄,Noun,마담밍 선릉점,2020.01.01,1,1
고민,Noun,일일향 잠실점,2020.01.01,4,1
고발,Noun,채린중국요리,2020.01.01,1,1
고소한,Adjective,봉자마라탕,2020.05.06.,3,1
고소한,Adjective,포시즌스호텔 유유안,2020.01.01,4,1
고수,Noun,라공방 대학로본점,2020.01.16.,1,1
고수,Noun,라공방 대학로본점,2020.11.02.,5,1
고수,Noun,봉자마라탕,2020.05.11.,3,1
고수,Noun,불이아 본점,2020.01.01,3,1
고수,Noun,송화산시도삭면,2020.01.01,4,2
고수,Noun,정민,2020.01.01,5,1
고요,Noun,미엔아이 송파점,2020.01.01,4,1
고장,Noun,봉자마라탕,2020.08.10.,3,1
고추,Noun,가담,2020.01.01,3,3
고추,Noun,가담,2020.01.01,4,1
고추,Noun,라공방 대학로본점,2019.11.21.,1,1
고추,Noun,복성각,2019.12.17.,1,3
고추,Noun,복성각,2020.02.08.,1,1
고추,Noun,홍콩반점0410 대학로점,2020.11.16.,2,2
고추가,Noun,란주탕슉,2018.05.31.,4,1
고추기름,Noun,라공방 대학로본점,2019.11.21.,1,1
고츄,Noun,가담,2020.01.01,4,1
고츄탕슉,Noun,가담,2020.01.01,4,1
고함,Noun,훠궈야 판교아브뉴프랑점,2020.01.01,4,1
고해,Noun,복성각,2019.08.04.,1,1
고해,Noun,산동교자,2016.04.23.,5,1
고향이,Noun,구복만두,2020.01.01,4,1
곤,Noun,매화반점 1호점,2020.01.01,3,1
곧,Noun,미소손짜장,2020.01.01,1,1
곱,Noun,미소손짜장,2020.01.01,5,1
곱,Noun,신승관,2020.01.01,1,1
곱빼기,Noun,미엔아이 송파점,2020.01.01,3,1
곳,Noun,가담,2020.01.01,3,1
곳,Noun,강서,2020.05.18.,3,1
곳,Noun,강서,2020.07.03.,4,3
곳,Noun,개화식당,2020.01.01,1,1
곳,Noun,두만강샤브샤브 봉천점,2020.01.01,4,1
곳,Noun,등비룡마라탕 종각점,2020.07.03.,1,1
곳,Noun,라공방 대학로본점,2019.12.10.,1,1
곳,Noun,라공방 대학로본점,2020.10.04.,5,1
곳,Noun,라화쿵부 명동점,2019.03.23.,3,1
곳,Noun,락희안 명지대본점,2020.01.01,3,1
곳,Noun,락희안 명지대본점,2020.01.01,5,1
곳,Noun,란주탕슉,2019.11.08.,1,1
곳,Noun,란주탕슉,2020.08.16.,5,1
곳,Noun,램랜드,2020.01.01,4,1
곳,Noun,매화반점 1호점,2020.01.01,1,1
곳,Noun,매화반점 1호점,2020.01.01,3,2
곳,Noun,바오바,2020.01.01,4,2
곳,Noun,벽돌해피푸드 압구정점,2020.01.01,5,1
곳,Noun,복만루훠궈,2020.02.18.,5,1
곳,Noun,복만루훠궈 2호점,2020.10.30.,4,1
곳,Noun,복성각,2020.02.08.,1,1
곳,Noun,불이아 본점,2020.01.01,1,1
곳,Noun,산동주방,2020.01.01,5,1
곳,Noun,손오공마라탕,2020.01.01,5,6
곳,Noun,신룽푸마라탕,2020.05.29.,5,1
곳,Noun,애정마라샹궈 본점,2020.01.01,2,1
곳,Noun,완차이면가,2020.02.20.,5,1
곳,Noun,일일향 잠실점,2020.01.01,1,1
곳,Noun,일일향 잠실점,2020.01.01,4,1
곳,Noun,자리,2020.01.01,4,1
곳,Noun,종로양꼬치,2017.10.29.,5,1
곳,Noun,종로양꼬치,2018.07.03.,1,1
곳,Noun,종로양꼬치,2019.07.10.,4,1
곳,Noun,종로양꼬치,2020.05.30.,5,1
곳,Noun,종로양꼬치,2020.08.15.,5,1
곳,Noun,중심,2020.05.12.,5,1
곳,Noun,챠이797 광화문점,2019.07.30.,5,1
곳,Noun,천유향마라향솥,2020.01.01,5,2
곳,Noun,천진영감,2020.01.01,5,1
곳,Noun,춘리마라탕,2020.04.21.,5,1
곳,Noun,큐큐면관 삼성점,2020.10.19.,2,1
곳,Noun,큐큐면관 회기점,2020.06.02.,1,1
곳,Noun,탕화쿵푸마라탕,2019.05.02.,2,1
곳,Noun,포가,2020.01.01,5,1
곳,Noun,포담,2019.07.21.,5,1
곳,Noun,포시즌스호텔 유유안,2020.01.01,5,1
곳,Noun,피슈마라홍탕 상암점,2020.01.01,4,2
곳,Noun,피슈마라홍탕 상암점,2020.01.01,5,1
곳,Noun,한성양꼬치 종각점,2020.05.06.,1,2
곳,Noun,홍명,2020.01.01,5,2
곳,Noun,홍콩반점0410 대학로점,2020.04.29.,5,1
곳,Noun,화양연가,2020.01.01,4,1
곳,Noun,히노아지 명동점,2020.01.01,5,2
곳임,Noun,매화반점 1호점,2020.01.01,3,1
공,Modifier,라공방 대학로본점,2019.12.10.,1,1
공,Modifier,라공방 대학로본점,2020.04.13.,4,1
공,Modifier,라공방 대학로본점,2020.10.04.,5,1
공,Modifier,애정마라샹궈 본점,2020.01.01,2,1
공,Modifier,중경마라탕 강남역점,2020.01.01,5,1
공,Modifier,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
공간,Noun,로향양꼬치,2020.01.01,3,1
공간,Noun,몽중헌 방이점,2020.01.01,4,1
공간,Noun,송화산시도삭면,2020.01.01,4,1
공경,Noun,홍명,2020.01.01,5,1
공기밥,Noun,미엔아이 송파점,2020.01.01,5,1
공기밥,Noun,봉자마라탕,2020.07.05.,3,1
공기밥,Noun,빠오즈푸,2020.01.01,5,1
공기밥,Noun,천진영감,2020.01.01,5,1
공용,Noun,쥬에,2020.01.01,1,1
공용,Noun,쥬에,2020.01.01,2,1
공화춘,Noun,산동주방,2019.05.03.,1,1
과,Josa,강서,2020.02.20.,2,1
과,Josa,개화식당,2020.01.01,2,1
과,Josa,공푸,2020.01.01,5,1
과,Josa,대한닭갈비,2020.06.26.,5,1
과,Josa,미엔아이 송파점,2020.01.01,3,1
과,Josa,바오바,2020.01.01,4,1
과,Josa,복성각,2020.05.23.,3,1
과,Josa,봉자마라탕,2019.05.11.,1,1
과,Josa,산동교자,2016.07.31.,5,1
과,Josa,산동교자,2016.09.09.,4,1
과,Josa,산동교자,2019.05.06.,1,1
과,Josa,산동교자,2020.01.01.,5,1
과,Josa,산동교자,2020.05.18.,3,1
과,Josa,신룽푸마라탕,2019.06.21.,1,1
과,Josa,신승관,2020.08.25.,1,1
과,Josa,애정마라샹궈 본점,2020.01.01,5,1
과,Josa,양식당더램키친,2020.01.01,5,2
과,Josa,영화장,2020.01.01,1,1
과,Josa,영화장,2020.01.01,5,1
과,Josa,외래향 서울대점,2020.01.01,3,1
과,Josa,중경마라탕 강남역점,2020.01.01,4,1
과,Josa,중심,2020.05.21.,5,1
과,Josa,중화복춘,2020.01.01,1,1
과,Josa,챠이797 광화문점,2019.07.26.,5,1
과,Josa,챠이797 광화문점,2020.05.12.,2,1
과,Josa,챠이797 광화문점,2020.06.23.,5,1
과,Josa,청화원,2019.12.27.,4,1
과,Josa,촨커,2020.01.01,4,1
과,Josa,큐큐면관 삼성점,2019.06.18.,5,1
과,Josa,팔레드신,2020.01.01,1,1
과,Josa,포가,2020.01.01,3,1
과,Josa,포시즌스호텔 유유안,2020.01.01,4,1
과,Josa,홍명,2020.01.01,5,1
과,Josa,홍콩반점0410 대학로점,2020.02.04.,4,2
과,Josa,홍콩반점0410 종로관수점,2019.12.07.,5,1
과,Josa,홍콩반점0410 종로관수점,2020.01.01,5,1
과,Josa,홍콩반점0410 종로관수점,2020.06.24.,3,1
과,Noun,란주탕슉,2018.07.13.,2,1
과,Noun,미소손짜장,2020.01.01,5,1
과,Noun,완차이면가,2019.02.03.,5,1
과,Noun,히노아지 명동점,2020.01.01,5,1
과거,Noun,매화반점 1호점,2020.01.01,1,1
과거,Noun,백객도,2020.01.01,1,1
과는,Josa,미엔아이 송파점,2020.01.01,4,1
과는,Josa,불이아 본점,2020.01.01,3,1
과는,Josa,쌍용각,2020.01.01,2,1
과는,Josa,홍콩반점0410 종로관수점,2020.01.01,5,1
과대,Noun,란주탕슉,2018.12.20.,1,1
과도,Noun,하이디라오 강남점,2020.01.01,4,2
과연,Noun,팔레드신,2020.01.01,1,1
과연,Noun,홍명,2020.01.01,5,1
과장,Noun,한성양꼬치 종각점,2020.05.06.,1,1
관광객,Noun,소리원,2020.01.01,5,1
관광객,Noun,일일향 광화문점,2019.02.13.,1,1
관리,Noun,미가양고기,2020.01.01,1,1
관리,Noun,청화원,2019.12.04.,5,1
관성,Noun,라공방 대학로본점,2019.12.10.,1,1
광고,Noun,라공방 대학로본점,2019.09.29.,1,1
광고,Noun,산동주방,2020.01.01,5,1
광고,Noun,한성양꼬치 종각점,2020.05.06.,1,1
광동,Noun,열빈 광화문점,2019.06.19.,3,1
광동,Noun,열빈 광화문점,2019.08.28.,5,1
광동,Noun,열빈 광화문점,2020.01.01,5,1
광화문,Noun,라화쿵부 명동점,2020.08.21.,1,1
광화문,Noun,탕화쿵푸마라탕,2019.10.31.,4,1
괜찮게,Adjective,상하이,2020.11.14.,5,1
괜찮고,Adjective,동영관,2020.01.01,5,1
괜찮고,Adjective,홍콩반점0410 대학로점,2020.06.09.,4,1
괜찮냐고,Adjective,신룽푸마라탕,2020.05.29.,5,1
괜찮네요,Adjective,히노아지 명동점,2020.01.01,5,1
괜찮더니,Adjective,란주탕슉,2019.05.23.,1,1
괜찮아,Adjective,완차이면가,2020.04.11.,3,1
괜찮아서,Adjective,라화쿵부 명동점,2020.01.01,1,1
괜찮아요,Adjective,동영관,2019.12.23.,3,1
괜찮아요,Adjective,리춘시장 영등포역점,2019.09.12.,4,1
괜찮아요,Adjective,복만루훠궈 2호점,2020.10.30.,4,1
괜찮아요,Adjective,이품,2020.01.01,4,1
괜찮아요,Adjective,종로양꼬치,2018.08.22.,5,1
괜찮아요,Adjective,탕화쿵푸마라탕,2019.04.21.,5,1
괜찮앗어요,Adjective,외래향 서울대점,2020.01.01,3,1
괜찮았구요,Adjective,청화원,2019.11.26.,5,1
괜찮았구요,Adjective,탕화쿵푸마라탕,2019.07.30.,3,1
괜찮았는데,Adjective,벽돌해피푸드 압구정점,2020.01.01,3,1
괜찮았는데,Adjective,큐큐면관 회기점,2020.06.13.,2,1
괜찮았는데,Adjective,홍콩반점0410 대학로점,2020.11.16.,2,1
괜찮았다가,Adjective,목란,2020.01.01,2,1
괜찮았던,Adjective,라화쿵부 명동점,2018.04.09.,4,1
괜찮았던거,Adjective,훠궈야 판교아브뉴프랑점,2020.01.01,1,1
괜찮았어요,Adjective,송화양꼬치,2020.01.01,4,1
괜찮았어요,Adjective,탕화쿵푸마라탕,2020.06.10.,3,1
괜찮았으나,Adjective,탕화쿵푸마라탕 동대문점,2019.05.31.,1,1
괜찮았음,Adjective,강서,2020.02.20.,2,1
괜찮았음,Adjective,공푸,2020.01.01,3,1
괜찮았음,Adjective,라화쿵부 명동점,2018.04.09.,4,1
괜찮았음,Adjective,큐큐면관 회기점,2018.05.05.,3,1
괜찮으나,Adjective,쌍용각,2020.01.01,1,1
괜찮으면,Adjective,산동교자,2018.01.03.,1,1
괜찮은,Adjective,등비룡마라탕 종각점,2020.10.24.,4,1
괜찮은,Adjective,란주탕슉,2016.03.16.,4,1
괜찮은,Adjective,로향양꼬치,2020.01.01,1,1
괜찮은,Adjective,정육면체,2020.01.01,4,1
괜찮은,Adjective,청화원,2019.11.26.,5,1
괜찮은,Adjective,청화원,2020.07.20.,3,1
괜찮은,Adjective,춘리마라탕,2020.04.21.,5,1
괜찮은,Adjective,포담,2018.10.31.,4,1
괜찮은,Adjective,홍콩반점0410 대학로점,2020.11.16.,2,1
괜찮은데,Adjective,송화산시도삭면,2020.01.01,4,1
괜찮은데,Adjective,열빈 광화문점,2019.08.01.,1,1
괜찮은데,Adjective,큐큐면관 회기점,2019.05.26.,3,1
괜찮은데,Adjective,탕화쿵푸마라탕 동대문점,2019.09.23.,1,1
괜찮을지,Adjective,리춘시장 대학로CGV점,2020.03.15.,2,1
괜찮음,Adjective,매화반점 1호점,2020.01.01,3,1
괜찮음,Adjective,산동교자,2017.05.07.,4,1
괜찮음,Adjective,송화산시도삭면,2020.01.01,4,1
괜춘,Noun,송화산시도삭면,2020.01.01,4,1
괜춘,Noun,히노아지 명동점,2020.01.01,5,1
괜춘함,Noun,종로양꼬치,2020.01.01,5,1
괜춘했다,Noun,자리,2020.01.01,4,1
굉장히,Adjective,강서,2020.05.18.,3,1
굉장히,Adjective,락희안 명지대본점,2020.01.01,3,1
굉장히,Adjective,란주탕슉,2018.05.31.,4,1
굉장히,Adjective,매화반점 1호점,2020.01.01,3,1
굉장히,Adjective,야상해,2020.01.01,4,1
굉장히,Adjective,천진영감,2020.01.01,5,1
굉장히,Adjective,춘리마라탕,2020.01.24.,5,1
교동,Noun,챠이797 광화문점,2020.02.18.,5,2
교육,Noun,라화쿵부 명동점,2020.06.29.,1,1
교육,Noun,목란,2020.01.01,1,1
교육,Noun,복성각,2019.12.17.,1,1
교육,Noun,열빈 광화문점,2019.08.01.,1,1
교자,Noun,홍콩반점0410 대학로점,2020.11.16.,2,1
교자,Noun,홍콩반점0410 종로관수점,2020.06.24.,3,1
구라,Noun,라화쿵부 명동점,2019.12.03.,1,1
구려진,Adjective,란주탕슉,2019.08.11.,1,1
구리,Noun,미소손짜장,2020.01.01,5,1
구리,Noun,빠오즈푸,2020.01.01,5,1
구리,Noun,종로양꼬치,2020.09.16.,5,1
구림,Noun,란주탕슉,2020.10.07.,4,1
구만,Noun,영화장,2020.01.01,1,1
구복,Noun,구복만두,2020.01.01,4,1
구분,Noun,영화장,2020.01.01,1,1
구심,Noun,한성양꼬치 종각점,2020.05.06.,1,1
구워주셔서,Verb,램랜드,2020.01.01,5,1
구존,Noun,라공방 강남1호 본점,2020.01.01,4,1
국,Noun,자리,2020.01.01,1,1
국룰,Noun,정민,2020.01.01,5,1
국물,Noun,강서,2020.07.03.,4,1
국물,Noun,개화식당,2020.01.01,3,1
국물,Noun,동영관,2020.07.13.,4,1
국물,Noun,라공방 대학로본점,2020.04.13.,4,1
국물,Noun,라공방 대학로본점,2020.06.02.,5,1
국물,Noun,라공방 대학로본점,2020.10.16.,1,1
국물,Noun,락희안 명지대본점,2020.01.01,3,1
국물,Noun,란주탕슉,2019.06.10.,1,1
국물,Noun,란주탕슉,2019.09.08.,1,1
국물,Noun,미소손짜장,2020.01.01,5,1
국물,Noun,복성각,2020.01.01,1,1
국물,Noun,상하이,2019.08.09.,5,1
국물,Noun,신룽푸마라탕,2019.01.19.,2,1
국물,Noun,인량 훠궈,2020.01.01,4,1
국물,Noun,일일향 잠실점,2020.01.01,4,1
국물,Noun,종로양꼬치,2019.07.10.,4,1
국물,Noun,천진영감,2020.01.01,5,1
국물,Noun,청화원,2019.11.26.,5,1
국물,Noun,청화원,2020.07.20.,3,1
국물,Noun,청화원,2020.10.26.,5,1
국물,Noun,춘리마라탕,2020.04.21.,5,1
국물,Noun,큐큐면관 회기점,2019.08.16.,4,1
국물,Noun,큐큐면관 회기점,2020.06.02.,1,1
국물,Noun,큐큐면관 회기점,2020.06.13.,2,3
국물,Noun,큐큐면관 회기점,2020.11.14.,2,1
국물,Noun,탕화쿵푸마라탕,2019.06.17.,1,1
국물,Noun,탕화쿵푸마라탕,2020.06.10.,3,1
국물,Noun,탕화쿵푸마라탕 동대문점,2019.05.31.,1,1
국물,Noun,홍콩반점0410 종로관수점,2020.01.01,5,1
국물,Noun,히노아지 명동점,2019.04.18.,1,1
국물,Noun,히노아지 명동점,2020.03.04.,1,1
국물,Noun,히노아지 명동점,2020.06.25.,1,1
국물,Noun,히노아지 명동점,2020.07.13.,1,1
국민,Noun,탕화쿵푸마라탕 화양점,2019.10.07.,1,1
국세청,Noun,봉자마라탕,2020.02.10.,3,1
국수,Noun,골드피쉬딤섬퀴진,2020.01.01,4,1
국수,Noun,양식당더램키친,2020.01.01,5,1
국수,Noun,완차이면가,2020.04.11.,3,1
국수,Noun,종로양꼬치,2019.07.10.,4,1
국적,Noun,청화원,2020.07.20.,3,1
군,Noun,강서,2020.07.03.,4,1
군,Noun,만보성,2019.07.21.,1,1
